celebrity_name,celebrity_age_during_season,celebrity_homecountry/region,celebrity_industry,simulated_vote_share,avg_judge_score
John O'Hurley,50,United States,Actor/Actress,0.190866,6.666667
John O'Hurley,50,United States,Actor/Actress,0.436002,8.666667
John O'Hurley,50,United States,Actor/Actress,0.221322,8.0
John O'Hurley,50,United States,Actor/Actress,0.490685,7.0
John O'Hurley,50,United States,Actor/Actress,0.331396,9.0
John O'Hurley,50,United States,Actor/Actress,0.497739,9.0
Kelly Monaco,29,United States,Actor/Actress,0.128671,4.333333
Kelly Monaco,29,United States,Actor/Actress,0.010987,5.666667
Kelly Monaco,29,United States,Actor/Actress,0.260873,7.0
Kelly Monaco,29,United States,Actor/Actress,0.018667,8.666667
Kelly Monaco,29,United States,Actor/Actress,0.403177,7.833333
Kelly Monaco,29,United States,Actor/Actress,0.502261,9.166667
Kelly Monaco,29,United States,Actor/Actress,0.086279,7.166667
Kelly Monaco,29,United States,Actor/Actress,0.106831,7.333333
Kelly Monaco,29,United States,Actor/Actress,0.104835,9.0
Kelly Monaco,29,United States,Actor/Actress,0.130291,9.375
Kelly Monaco,29,United States,Actor/Actress,0.120673,8.583333
Kelly Monaco,29,United States,Actor/Actress,0.14549,9.0
Kelly Monaco,29,United States,Actor/Actress,0.154781,12.0
Kelly Monaco,29,United States,Actor/Actress,0.163427,9.444433
Kelly Monaco,29,United States,Actor/Actress,0.232602,9.037
Kelly Monaco,29,United States,Actor/Actress,0.338611,9.703633
Kelly Monaco,36,United States,Actor/Actress,0.128671,4.333333
Kelly Monaco,36,United States,Actor/Actress,0.010987,5.666667
Kelly Monaco,36,United States,Actor/Actress,0.260873,7.0
Kelly Monaco,36,United States,Actor/Actress,0.018667,8.666667
Kelly Monaco,36,United States,Actor/Actress,0.403177,7.833333
Kelly Monaco,36,United States,Actor/Actress,0.502261,9.166667
Kelly Monaco,36,United States,Actor/Actress,0.086279,7.166667
Kelly Monaco,36,United States,Actor/Actress,0.106831,7.333333
Kelly Monaco,36,United States,Actor/Actress,0.104835,9.0
Kelly Monaco,36,United States,Actor/Actress,0.130291,9.375
Kelly Monaco,36,United States,Actor/Actress,0.120673,8.583333
Kelly Monaco,36,United States,Actor/Actress,0.14549,9.0
Kelly Monaco,36,United States,Actor/Actress,0.154781,12.0
Kelly Monaco,36,United States,Actor/Actress,0.163427,9.444433
Kelly Monaco,36,United States,Actor/Actress,0.232602,9.037
Kelly Monaco,36,United States,Actor/Actress,0.338611,9.703633
Evander Holyfield,42,United States,Athlete,0.171778,6.0
Evander Holyfield,42,United States,Athlete,0.256891,4.666667
Evander Holyfield,42,United States,Athlete,0.12434,4.333333
Rachel Hunter,35,New Zealand,Model,0.151151,6.666667
Rachel Hunter,35,New Zealand,Model,0.277796,8.0
Rachel Hunter,35,New Zealand,Model,0.190128,8.666667
Rachel Hunter,35,New Zealand,Model,0.015049,8.333333
Joey McIntyre,32,United States,Singer/Rapper,0.189683,6.666667
Joey McIntyre,32,United States,Singer/Rapper,0.009202,7.0
Joey McIntyre,32,United States,Singer/Rapper,0.203338,7.333333
Joey McIntyre,32,United States,Singer/Rapper,0.475599,6.666667
Joey McIntyre,32,United States,Singer/Rapper,0.265428,7.5
Trista Sutter,32,United States,TV Personality,0.167851,6.0
Trista Sutter,32,United States,TV Personality,0.009123,6.333333
Tatum O'Neal,42,United States,Actor/Actress,0.1,7.666667
Tatum O'Neal,42,United States,Actor/Actress,0.016289,5.666667
Tia Carrere,39,United States,Actor/Actress,0.1,6.666667
Tia Carrere,39,United States,Actor/Actress,0.123451,7.333333
Tia Carrere,39,United States,Actor/Actress,0.145101,8.666667
Tia Carrere,39,United States,Actor/Actress,0.155251,8.333333
Tia Carrere,39,United States,Actor/Actress,0.146576,7.333333
George Hamilton,66,United States,Actor/Actress,0.1,6.0
George Hamilton,66,United States,Actor/Actress,0.123231,7.333333
George Hamilton,66,United States,Actor/Actress,0.130797,7.333333
George Hamilton,66,United States,Actor/Actress,0.166114,7.0
George Hamilton,66,United States,Actor/Actress,0.16263,8.0
George Hamilton,66,United States,Actor/Actress,0.175756,7.666667
Lisa Rinna,42,United States,Actor/Actress,0.1,6.333333
Lisa Rinna,42,United States,Actor/Actress,0.112904,6.666667
Lisa Rinna,42,United States,Actor/Actress,0.143765,8.333333
Lisa Rinna,42,United States,Actor/Actress,0.158679,8.666667
Lisa Rinna,42,United States,Actor/Actress,0.166917,8.333333
Lisa Rinna,42,United States,Actor/Actress,0.204774,9.0
Lisa Rinna,42,United States,Actor/Actress,0.007067,8.833333
Stacy Keibler,26,United States,Athlete,0.1,7.333333
Stacy Keibler,26,United States,Athlete,0.155521,9.666667
Stacy Keibler,26,United States,Athlete,0.153471,9.0
Stacy Keibler,26,United States,Athlete,0.154854,8.666667
Stacy Keibler,26,United States,Athlete,0.192918,10.0
Stacy Keibler,26,United States,Athlete,0.222566,10.0
Stacy Keibler,26,United States,Athlete,0.361539,9.166667
Stacy Keibler,26,United States,Athlete,0.337468,9.5555
Jerry Rice,43,United States,Athlete,0.1,7.0
Jerry Rice,43,United States,Athlete,0.125764,7.666667
Jerry Rice,43,United States,Athlete,0.153839,6.333333
Jerry Rice,43,United States,Athlete,0.146906,8.0
Jerry Rice,43,United States,Athlete,0.154405,7.666667
Jerry Rice,43,United States,Athlete,0.173296,7.666667
Jerry Rice,43,United States,Athlete,0.271405,6.833333
Jerry Rice,43,United States,Athlete,0.318407,8.888867
Giselle Fernandez,44,Mexico,News Anchor,0.1,7.666667
Giselle Fernandez,44,Mexico,News Anchor,0.102009,8.0
Giselle Fernandez,44,Mexico,News Anchor,0.003301,7.333333
Master P,35,United States,Singer/Rapper,0.1,4.0
Master P,35,United States,Singer/Rapper,0.094478,5.333333
Master P,35,United States,Singer/Rapper,0.115767,4.666667
Master P,35,United States,Singer/Rapper,0.05138,2.666667
Drew Lachey,29,United States,Singer/Rapper,0.1,8.0
Drew Lachey,29,United States,Singer/Rapper,0.146352,9.0
Drew Lachey,29,United States,Singer/Rapper,0.153958,9.0
Drew Lachey,29,United States,Singer/Rapper,0.166817,9.333333
Drew Lachey,29,United States,Singer/Rapper,0.176553,9.0
Drew Lachey,29,United States,Singer/Rapper,0.223608,10.0
Drew Lachey,29,United States,Singer/Rapper,0.359989,9.166667
Drew Lachey,29,United States,Singer/Rapper,0.344125,9.6666
Drew Lachey,29,United States,Singer/Rapper,0.085318,7.166667
Drew Lachey,29,United States,Singer/Rapper,0.094107,7.5
Drew Lachey,29,United States,Singer/Rapper,0.043657,8.0
Drew Lachey,36,United States,Singer/Rapper,0.1,8.0
Drew Lachey,36,United States,Singer/Rapper,0.146352,9.0
Drew Lachey,36,United States,Singer/Rapper,0.153958,9.0
Drew Lachey,36,United States,Singer/Rapper,0.166817,9.333333
Drew Lachey,36,United States,Singer/Rapper,0.176553,9.0
Drew Lachey,36,United States,Singer/Rapper,0.223608,10.0
Drew Lachey,36,United States,Singer/Rapper,0.359989,9.166667
Drew Lachey,36,United States,Singer/Rapper,0.344125,9.6666
Drew Lachey,36,United States,Singer/Rapper,0.085318,7.166667
Drew Lachey,36,United States,Singer/Rapper,0.094107,7.5
Drew Lachey,36,United States,Singer/Rapper,0.043657,8.0
Kenny Mayne,46,United States,Sports Broadcaster,0.1,4.333333
Harry Hamlin,54,United States,Actor/Actress,0.086463,5.666667
Harry Hamlin,54,United States,Actor/Actress,0.119753,7.0
Harry Hamlin,54,United States,Actor/Actress,0.00261,7.333333
Vivica A. Fox,42,United States,Actor/Actress,0.111113,7.333333
Vivica A. Fox,42,United States,Actor/Actress,0.105913,8.0
Vivica A. Fox,42,United States,Actor/Actress,0.136287,9.0
Vivica A. Fox,42,United States,Actor/Actress,0.002572,8.0
Monique Coleman,25,United States,Actor/Actress,0.096269,6.333333
Monique Coleman,25,United States,Actor/Actress,0.116416,8.666667
Monique Coleman,25,United States,Actor/Actress,0.136237,9.0
Monique Coleman,25,United States,Actor/Actress,0.145809,8.0
Monique Coleman,25,United States,Actor/Actress,0.168889,9.0
Monique Coleman,25,United States,Actor/Actress,0.203101,7.666667
Monique Coleman,25,United States,Actor/Actress,0.2218,9.0
Monique Coleman,25,United States,Actor/Actress,0.134134,8.833333
Joey Lawrence,30,United States,Actor/Actress,0.106455,7.0
Joey Lawrence,30,United States,Actor/Actress,0.128402,9.666667
Joey Lawrence,30,United States,Actor/Actress,0.123125,7.333333
Joey Lawrence,30,United States,Actor/Actress,0.143511,9.0
Joey Lawrence,30,United States,Actor/Actress,0.167181,8.333333
Joey Lawrence,30,United States,Actor/Actress,0.211845,8.0
Joey Lawrence,30,United States,Actor/Actress,0.232698,9.5
Joey Lawrence,30,United States,Actor/Actress,0.28562,9.0
Joey Lawrence,30,United States,Actor/Actress,0.148615,9.833333
Mario Lopez,32,United States,Actor/Actress,0.121054,8.666667
Mario Lopez,32,United States,Actor/Actress,0.119771,7.0
Mario Lopez,32,United States,Actor/Actress,0.123825,7.333333
Mario Lopez,32,United States,Actor/Actress,0.15445,9.666667
Mario Lopez,32,United States,Actor/Actress,0.170755,9.0
Mario Lopez,32,United States,Actor/Actress,0.243078,9.333333
Mario Lopez,32,United States,Actor/Actress,0.229934,9.333333
Mario Lopez,32,United States,Actor/Actress,0.29866,9.5
Mario Lopez,32,United States,Actor/Actress,0.420402,9.833333
Mario Lopez,32,United States,Actor/Actress,0.503967,9.888867
Emmitt Smith,37,United States,Athlete,0.11781,8.0
Emmitt Smith,37,United States,Athlete,0.104337,8.0
Emmitt Smith,37,United States,Athlete,0.121275,6.333333
Emmitt Smith,37,United States,Athlete,0.149435,8.0
Emmitt Smith,37,United States,Athlete,0.169268,9.0
Emmitt Smith,37,United States,Athlete,0.215134,8.333333
Emmitt Smith,37,United States,Athlete,0.229084,9.5
Emmitt Smith,37,United States,Athlete,0.281586,9.0
Emmitt Smith,37,United States,Athlete,0.430982,9.833333
Emmitt Smith,37,United States,Athlete,0.496033,9.888867
Emmitt Smith,37,United States,Athlete,0.096312,8.166667
Emmitt Smith,37,United States,Athlete,0.096251,7.5
Emmitt Smith,37,United States,Athlete,0.103915,8.333333
Emmitt Smith,37,United States,Athlete,0.122729,9.0
Emmitt Smith,37,United States,Athlete,0.128165,9.333333
Emmitt Smith,37,United States,Athlete,0.140242,8.833333
Emmitt Smith,37,United States,Athlete,0.146098,11.499967
Emmitt Smith,37,United States,Athlete,0.164861,9.685133
Emmitt Smith,37,United States,Athlete,0.143492,9.0
Emmitt Smith,43,United States,Athlete,0.11781,8.0
Emmitt Smith,43,United States,Athlete,0.104337,8.0
Emmitt Smith,43,United States,Athlete,0.121275,6.333333
Emmitt Smith,43,United States,Athlete,0.149435,8.0
Emmitt Smith,43,United States,Athlete,0.169268,9.0
Emmitt Smith,43,United States,Athlete,0.215134,8.333333
Emmitt Smith,43,United States,Athlete,0.229084,9.5
Emmitt Smith,43,United States,Athlete,0.281586,9.0
Emmitt Smith,43,United States,Athlete,0.430982,9.833333
Emmitt Smith,43,United States,Athlete,0.496033,9.888867
Emmitt Smith,43,United States,Athlete,0.096312,8.166667
Emmitt Smith,43,United States,Athlete,0.096251,7.5
Emmitt Smith,43,United States,Athlete,0.103915,8.333333
Emmitt Smith,43,United States,Athlete,0.122729,9.0
Emmitt Smith,43,United States,Athlete,0.128165,9.333333
Emmitt Smith,43,United States,Athlete,0.140242,8.833333
Emmitt Smith,43,United States,Athlete,0.146098,11.499967
Emmitt Smith,43,United States,Athlete,0.164861,9.685133
Emmitt Smith,43,United States,Athlete,0.143492,9.0
Shanna Moakler,31,United States,Model,0.088638,6.0
Shanna Moakler,31,United States,Model,0.002237,7.333333
Willa Ford,25,United States,Singer/Rapper,0.110597,7.333333
Willa Ford,25,United States,Singer/Rapper,0.101157,7.666667
Willa Ford,25,United States,Singer/Rapper,0.126327,7.333333
Willa Ford,25,United States,Singer/Rapper,0.148019,9.333333
Willa Ford,25,United States,Singer/Rapper,0.116901,9.0
Sara Evans,35,United States,Singer/Rapper,0.075608,5.0
Sara Evans,35,United States,Singer/Rapper,0.118629,7.0
Sara Evans,35,United States,Singer/Rapper,0.125169,8.333333
Sara Evans,35,United States,Singer/Rapper,0.138168,6.666667
Sara Evans,35,United States,Singer/Rapper,0.058027,8.0
Jerry Springer,62,England,TV Personality,0.062634,5.333333
Jerry Springer,62,England,TV Personality,0.083385,6.333333
Jerry Springer,62,England,TV Personality,0.105145,7.0
Jerry Springer,62,England,TV Personality,0.118036,7.333333
Jerry Springer,62,England,TV Personality,0.14898,8.0
Jerry Springer,62,England,TV Personality,0.126841,6.0
Jerry Springer,62,England,TV Personality,0.086485,7.666667
Tucker Carlson,37,United States,TV Personality,0.023359,4.0
John Ratzenberger,59,United States,Actor/Actress,0.087361,5.666667
John Ratzenberger,59,United States,Actor/Actress,0.092332,7.0
John Ratzenberger,59,United States,Actor/Actress,0.12611,6.666667
John Ratzenberger,59,United States,Actor/Actress,0.098167,5.333333
John Ratzenberger,59,United States,Actor/Actress,0.113319,6.0
John Ratzenberger,59,United States,Actor/Actress,0.15692,6.333333
John Ratzenberger,59,United States,Actor/Actress,0.00383,7.5
Ian Ziering,42,United States,Actor/Actress,0.10727,7.0
Ian Ziering,42,United States,Actor/Actress,0.097407,7.333333
Ian Ziering,42,United States,Actor/Actress,0.11744,8.0
Ian Ziering,42,United States,Actor/Actress,0.138399,8.0
Ian Ziering,42,United States,Actor/Actress,0.14997,8.0
Ian Ziering,42,United States,Actor/Actress,0.152081,8.0
Ian Ziering,42,United States,Actor/Actress,0.198767,9.0
Ian Ziering,42,United States,Actor/Actress,0.202683,7.833333
