celebrity_name,season,celebrity_age_during_season,celebrity_homecountry/region,celebrity_industry,placement,avg_vote_share,avg_judge_score
John O'Hurley,1,50,United States,Actor/Actress,2,0.36133499999999996,8.055555666666667
Kelly Monaco,1,29,United States,Actor/Actress,1,0.22077266666666664,7.111111166666667
Evander Holyfield,1,42,United States,Athlete,5,0.18433633333333332,5.0
Rachel Hunter,1,35,New Zealand,Model,4,0.158531,7.91666675
Joey McIntyre,1,32,United States,Singer/Rapper,3,0.22865000000000002,7.033333400000001
Trista Sutter,1,32,United States,TV Personality,6,0.088487,6.1666665
Tatum O'Neal,2,42,United States,Actor/Actress,9,0.0581445,6.666667
Tia Carrere,2,39,United States,Actor/Actress,6,0.13407580000000002,7.666666599999999
George Hamilton,2,66,United States,Actor/Actress,5,0.143088,7.222222166666666
Lisa Rinna,2,42,United States,Actor/Actress,4,0.12772942857142858,8.023809428571429
Stacy Keibler,2,26,United States,Athlete,3,0.209792125,9.17360425
Jerry Rice,2,43,United States,Athlete,2,0.18050275,7.50694175
Giselle Fernandez,2,44,Mexico,News Anchor,8,0.06843666666666667,7.666666666666667
Master P,2,35,United States,Singer/Rapper,7,0.09040625000000001,4.16666675
Drew Lachey,2,29,United States,Singer/Rapper,1,0.20892525,9.145825
Kenny Mayne,2,46,United States,Sports Broadcaster,10,0.1,4.333333
Harry Hamlin,3,54,United States,Actor/Actress,9,0.06960866666666667,6.666666666666667
Vivica A. Fox,3,42,United States,Actor/Actress,8,0.08897125,8.083333249999999
Monique Coleman,3,25,United States,Actor/Actress,4,0.152831875,8.3125
Joey Lawrence,3,30,United States,Actor/Actress,3,0.1719391111111111,8.629629555555555
Mario Lopez,3,32,United States,Actor/Actress,2,0.23858959999999999,8.9555533
Emmitt Smith,3,37,United States,Athlete,1,0.23149440000000002,8.588886599999999
Shanna Moakler,3,31,United States,Model,10,0.0454375,6.6666665
Willa Ford,3,25,United States,Singer/Rapper,7,0.1206002,8.1333332
Sara Evans,3,35,United States,Singer/Rapper,6,0.1031202,7.0
Jerry Springer,3,62,England,TV Personality,5,0.10450085714285715,6.809523714285715
Tucker Carlson,3,37,United States,TV Personality,11,0.023359,4.0
John Ratzenberger,4,59,United States,Actor/Actress,6,0.09686271428571429,6.357142857142857
Ian Ziering,4,42,United States,Actor/Actress,4,0.14418655555555557,8.092592555555555
Clyde Drexler,4,44,United States,Athlete,8,0.086759,5.1999998
Laila Ali,4,29,United States,Athlete,3,0.18544460000000001,8.7444399
Apolo Anton Ohno,4,24,United States,Athlete,1,0.1871061,8.9611067
Shandi Finnessey,4,28,United States,Beauty Pagent,10,0.068937,6.666666666666667
Paulina Porizkova,4,41,Czechoslovakia,Model,11,0.038967,6.6666665
Heather Mills,4,39,England,Model,7,0.07595833333333334,7.388889
Billy Ray Cyrus,4,45,United States,Singer/Rapper,5,0.118345875,6.33333325
Joey Fatone,4,30,United States,Singer/Rapper,2,0.18954949999999998,8.9222166
Leeza Gibbons,4,50,United States,TV Personality,9,0.07055675,6.33333325
Cameron Mathison,5,38,Canada,Actor/Actress,5,0.12181449999999999,8.083333375
Jane Seymour,5,56,England,Actor/Actress,6,0.10775757142857142,8.142857142857142
Sabrina Bryan,5,23,United States,Actor/Actress,7,0.11541583333333333,9.0
