season,week,celebrity_name,simulated_vote_share,vote_percentage,avg_judge_score,status,num_valid_simulations,valid_percentage
1,1,John O'Hurley,0.191877,19.187714,6.666667,存活,100000,100.000000
1,1,Joey McIntyre,0.190629,19.062896,6.666667,存活,100000,100.000000
1,1,Evander Holyfield,0.170914,17.091355,6.000000,存活,100000,100.000000
1,1,Trista Sutter,0.167190,16.718969,6.000000,存活,100000,100.000000
1,1,Rachel Hunter,0.150862,15.086196,6.666667,存活,100000,100.000000
1,1,Kelly Monaco,0.128529,12.852869,4.333333,存活,100000,100.000000
1,2,John O'Hurley,0.487940,48.794002,8.666667,存活,34,0.034000
1,2,Rachel Hunter,0.284929,28.492936,8.000000,存活,34,0.034000
1,2,Evander Holyfield,0.198504,19.850434,4.666667,存活,34,0.034000
1,2,Kelly Monaco,0.010720,1.071988,5.666667,存活,34,0.034000
1,2,Joey McIntyre,0.008998,0.899751,7.000000,存活,34,0.034000
1,2,Trista Sutter,0.008909,0.890889,6.333333,淘汰,34,0.034000
1,3,Kelly Monaco,0.260718,26.071821,7.000000,存活,80123,80.123000
1,3,John O'Hurley,0.222959,22.295950,8.000000,存活,80123,80.123000
1,3,Joey McIntyre,0.203718,20.371752,7.333333,存活,80123,80.123000
1,3,Rachel Hunter,0.188515,18.851458,8.666667,存活,80123,80.123000
1,3,Evander Holyfield,0.124090,12.409020,4.333333,淘汰,80123,80.123000
1,4,John O'Hurley,0.490591,49.059128,7.000000,存活,3961,3.961000
1,4,Joey McIntyre,0.473366,47.336647,6.666667,存活,3961,3.961000
1,4,Kelly Monaco,0.019923,1.992298,8.666667,存活,3961,3.961000
1,4,Rachel Hunter,0.016119,1.611927,8.333333,淘汰,3961,3.961000
1,5,Kelly Monaco,0.402593,40.259265,7.833333,存活,73748,73.748000
1,5,John O'Hurley,0.331399,33.139860,9.000000,存活,73748,73.748000
1,5,Joey McIntyre,0.266009,26.600876,7.500000,淘汰,73748,73.748000
1,6,Kelly Monaco,0.502140,50.214047,9.166667,淘汰,100000,100.000000
1,6,John O'Hurley,0.497860,49.785953,9.000000,淘汰,100000,100.000000
2,1,Tatum O'Neal,0.100000,10.000000,7.666667,存活,0,0.000000
2,1,Tia Carrere,0.100000,10.000000,6.666667,存活,0,0.000000
2,1,George Hamilton,0.100000,10.000000,6.000000,存活,0,0.000000
2,1,Lisa Rinna,0.100000,10.000000,6.333333,存活,0,0.000000
2,1,Stacy Keibler,0.100000,10.000000,7.333333,存活,0,0.000000
2,1,Jerry Rice,0.100000,10.000000,7.000000,存活,0,0.000000
2,1,Giselle Fernandez,0.100000,10.000000,7.666667,存活,0,0.000000
2,1,Master P,0.100000,10.000000,4.000000,存活,0,0.000000
2,1,Drew Lachey,0.100000,10.000000,8.000000,存活,0,0.000000
2,1,Kenny Mayne,0.100000,10.000000,4.333333,淘汰,0,0.000000
2,2,Stacy Keibler,0.156045,15.604466,9.666667,存活,21956,21.956000
2,2,Drew Lachey,0.146413,14.641313,9.000000,存活,21956,21.956000
2,2,Jerry Rice,0.125392,12.539164,7.666667,存活,21956,21.956000
2,2,George Hamilton,0.122987,12.298703,7.333333,存活,21956,21.956000
2,2,Tia Carrere,0.122443,12.244343,7.333333,存活,21956,21.956000
2,2,Lisa Rinna,0.112392,11.239160,6.666667,存活,21956,21.956000
2,2,Giselle Fernandez,0.102430,10.243008,8.000000,存活,21956,21.956000
2,2,Master P,0.095093,9.509295,5.333333,存活,21956,21.956000
2,2,Tatum O'Neal,0.016805,1.680547,5.666667,淘汰,21956,21.956000
2,3,Stacy Keibler,0.158896,15.889576,9.000000,存活,4932,4.932000
2,3,Drew Lachey,0.153923,15.392281,9.000000,存活,4932,4.932000
2,3,Jerry Rice,0.153154,15.315448,6.333333,存活,4932,4.932000
2,3,Tia Carrere,0.147153,14.715327,8.666667,存活,4932,4.932000
2,3,Lisa Rinna,0.140398,14.039841,8.333333,存活,4932,4.932000
2,3,George Hamilton,0.126607,12.660663,7.333333,存活,4932,4.932000
2,3,Master P,0.116554,11.655405,4.666667,存活,4932,4.932000
2,3,Giselle Fernandez,0.003315,0.331458,7.333333,淘汰,4932,4.932000
2,4,Drew Lachey,0.166744,16.674397,9.333333,存活,78703,78.703000
2,4,George Hamilton,0.166270,16.626990,7.000000,存活,78703,78.703000
2,4,Lisa Rinna,0.158408,15.840773,8.666667,存活,78703,78.703000
2,4,Tia Carrere,0.155240,15.523966,8.333333,存活,78703,78.703000
2,4,Stacy Keibler,0.154673,15.467258,8.666667,存活,78703,78.703000
2,4,Jerry Rice,0.147255,14.725513,8.000000,存活,78703,78.703000
2,4,Master P,0.051411,5.141103,2.666667,淘汰,78703,78.703000
2,5,Stacy Keibler,0.193172,19.317228,10.000000,存活,97885,97.885000
2,5,Drew Lachey,0.176495,17.649550,9.000000,存活,97885,97.885000
2,5,Lisa Rinna,0.166820,16.682001,8.333333,存活,97885,97.885000
