season,week,celebrity_name,simulated_vote_share,vote_percentage,avg_judge_score,status,num_valid_simulations,valid_percentage,method,final_rank
1,1,Joey McIntyre,0.189752,18.975162,6.666667,存活,100000,100.000000,排名结合法,1
1,1,John O'Hurley,0.191339,19.133920,6.666667,存活,100000,100.000000,排名结合法,2
1,1,Rachel Hunter,0.151403,15.140288,6.666667,存活,100000,100.000000,排名结合法,3
1,1,Evander Holyfield,0.170977,17.097721,6.000000,存活,100000,100.000000,排名结合法,4
1,1,Trista Sutter,0.167748,16.774758,6.000000,存活,100000,100.000000,排名结合法,5
1,1,Kelly Monaco,0.128782,12.878151,4.333333,存活,100000,100.000000,排名结合法,6
1,2,John O'Hurley,0.405683,40.568350,8.666667,存活,45,0.045000,排名结合法,1
1,2,Rachel Hunter,0.325319,32.531896,8.000000,存活,45,0.045000,排名结合法,2
1,2,Joey McIntyre,0.009504,0.950441,7.000000,存活,45,0.045000,排名结合法,3
1,2,Kelly Monaco,0.011338,1.133821,5.666667,存活,45,0.045000,排名结合法,4
1,2,Evander Holyfield,0.238742,23.874221,4.666667,存活,45,0.045000,排名结合法,5
1,2,Trista Sutter,0.009413,0.941272,6.333333,淘汰,45,0.045000,排名结合法,6
1,3,John O'Hurley,0.221774,22.177366,8.000000,存活,80050,80.050000,排名结合法,1
1,3,Kelly Monaco,0.261214,26.121410,7.000000,存活,80050,80.050000,排名结合法,2
1,3,Rachel Hunter,0.189321,18.932134,8.666667,存活,80050,80.050000,排名结合法,3
1,3,Joey McIntyre,0.203276,20.327574,7.333333,存活,80050,80.050000,排名结合法,4
1,3,Evander Holyfield,0.124415,12.441517,4.333333,淘汰,80050,80.050000,排名结合法,5
1,4,John O'Hurley,0.492886,49.288560,7.000000,存活,4169,4.169000,排名结合法,1
1,4,Kelly Monaco,0.019813,1.981281,8.666667,存活,4169,4.169000,排名结合法,2
1,4,Rachel Hunter,0.016013,1.601325,8.333333,淘汰,4169,4.169000,排名结合法,3
1,4,Joey McIntyre,0.471288,47.128834,6.666667,存活,4169,4.169000,排名结合法,4
1,5,John O'Hurley,0.332957,33.295714,9.000000,存活,73710,73.710000,排名结合法,1
1,5,Kelly Monaco,0.402683,40.268314,7.833333,存活,73710,73.710000,排名结合法,2
1,5,Joey McIntyre,0.264360,26.435972,7.500000,淘汰,73710,73.710000,排名结合法,3
1,6,Kelly Monaco,0.503038,50.303776,9.166667,淘汰,100000,100.000000,排名结合法,1
1,6,John O'Hurley,0.496962,49.696224,9.000000,淘汰,100000,100.000000,排名结合法,2
2,1,Drew Lachey,0.100000,10.000000,8.000000,存活,0,0.000000,排名结合法,1
2,1,Giselle Fernandez,0.100000,10.000000,7.666667,存活,0,0.000000,排名结合法,2
2,1,Stacy Keibler,0.100000,10.000000,7.333333,存活,0,0.000000,排名结合法,3
2,1,Jerry Rice,0.100000,10.000000,7.000000,存活,0,0.000000,排名结合法,4
2,1,Kenny Mayne,0.100000,10.000000,4.333333,淘汰,0,0.000000,排名结合法,5
2,1,Tatum O'Neal,0.100000,10.000000,7.666667,存活,0,0.000000,排名结合法,6
2,1,Master P,0.100000,10.000000,4.000000,存活,0,0.000000,排名结合法,7
2,1,Lisa Rinna,0.100000,10.000000,6.333333,存活,0,0.000000,排名结合法,8
2,1,Tia Carrere,0.100000,10.000000,6.666667,存活,0,0.000000,排名结合法,9
