season,num_weeks,total_records,avg_contestants_per_week,avg_valid_simulations,avg_valid_percentage,min_vote_share,max_vote_share,avg_vote_share
1,6,26,4.3333,58300.5769,58.3006,0.0090,0.5014,0.2308
2,8,52,6.5000,43322.7692,43.3228,0.0033,0.3618,0.1538
3,10,64,6.4000,32431.7812,32.4318,0.0022,0.5043,0.1562
4,10,74,7.4000,37134.8108,37.1348,0.0022,0.3376,0.1351
5,10,75,7.5000,25669.2000,25.6692,0.0024,0.4478,0.1333
6,10,76,7.6000,40698.2632,40.6983,0.0025,0.3701,0.1316
7,10,75,7.5000,39904.9867,39.9050,0.0028,0.3439,0.1333
8,11,91,8.2727,26598.0220,26.5980,0.0025,0.3601,0.1209
9,10,92,9.2000,24871.3261,24.8713,0.0023,0.3716,0.1087
10,10,74,7.4000,45755.0676,45.7551,0.0027,0.3491,0.1351
11,10,75,7.5000,25776.8133,25.7768,0.0017,0.3761,0.1333
12,10,74,7.4000,41173.3649,41.1734,0.0030,0.3614,0.1351
13,10,75,7.5000,26780.0400,26.7800,0.0020,0.3366,0.1333
14,10,82,8.2000,37303.4756,37.3035,0.0026,0.3796,0.1220
15,10,83,8.3000,39825.7349,39.8257,0.0016,0.3383,0.1205
16,10,84,8.4000,38972.7500,38.9728,0.0022,0.3756,0.1190
17,11,92,8.3636,26647.8696,26.6479,0.0017,0.3433,0.1196
18,10,80,8.0000,36925.0375,36.9250,0.0016,0.3843,0.1250
19,11,94,8.5455,30322.4149,30.3224,0.0020,0.2952,0.1170
20,10,82,8.2000,33393.0976,33.3931,0.0019,0.3464,0.1220
21,11,93,8.4545,41305.9785,41.3060,0.0018,0.3569,0.1183
22,10,85,8.5000,46822.4118,46.8224,0.0022,0.3438,0.1176
23,11,97,8.8182,27090.1649,27.0902,0.0025,0.3449,0.1134
24,10,81,8.1000,37275.4444,37.2754,0.0019,0.3426,0.1235
25,10,90,9.0000,33681.9667,33.6820,0.0021,0.2972,0.1111
26,4,27,6.7500,51004.8148,51.0048,0.0530,0.3378,0.1481
27,9,82,9.1111,28236.8537,28.2369,0.0018,0.2731,0.1098
28,11,92,8.3636,46328.7500,46.3288,0.0032,0.2571,0.1196
29,11,115,10.4545,37928.9478,37.9289,0.0021,0.2701,0.0957
30,10,105,10.5000,66994.7524,66.9948,0.0023,0.2609,0.0952
31,10,107,10.7000,40928.7757,40.9288,0.0014,0.2635,0.0935
32,11,100,9.0909,32697.6700,32.6977,0.0024,0.2981,0.1100
33,9,77,8.5556,54910.4935,54.9105,0.0035,0.3756,0.1169
34,11,106,9.6364,35571.0755,35.5711,0.0022,0.2154,0.1038
