season,week,celebrity_name,avg_judge_score,simulated_vote_share,rank_combination_rank,percentage_combination_rank
1,1,John O'Hurley,6.666667,0.190866,1,1
1,1,Joey McIntyre,6.666667,0.189683,2,2
1,1,Rachel Hunter,6.666667,0.151151,3,4
1,1,Evander Holyfield,6.000000,0.171778,4,3
1,1,Trista Sutter,6.000000,0.167851,5,5
1,1,Kelly Monaco,4.333333,0.128671,6,6
1,2,John O'Hurley,8.666667,0.436002,1,1
1,2,Rachel Hunter,8.000000,0.277796,2,2
1,2,Joey McIntyre,7.000000,0.009202,3,4
1,2,Kelly Monaco,5.666667,0.010987,4,6
1,2,Evander Holyfield,4.666667,0.256891,5,3
1,2,Trista Sutter,6.333333,0.009123,6,5
1,3,John O'Hurley,8.000000,0.221322,1,2
1,3,Kelly Monaco,7.000000,0.260873,2,1
1,3,Rachel Hunter,8.666667,0.190128,3,3
1,3,Joey McIntyre,7.333333,0.203338,4,4
1,3,Evander Holyfield,4.333333,0.124340,5,5
1,4,John O'Hurley,7.000000,0.490685,1,1
1,4,Kelly Monaco,8.666667,0.018667,2,3
1,4,Joey McIntyre,6.666667,0.475599,3,2
1,4,Rachel Hunter,8.333333,0.015049,4,4
1,5,John O'Hurley,9.000000,0.331396,1,2
1,5,Kelly Monaco,7.833333,0.403177,2,1
1,5,Joey McIntyre,7.500000,0.265428,3,3
1,6,Kelly Monaco,9.166667,0.502261,1,1
1,6,John O'Hurley,9.000000,0.497739,2,2
2,1,Giselle Fernandez,7.666667,0.100000,1,2
2,1,Tatum O'Neal,7.666667,0.100000,2,3
2,1,Stacy Keibler,7.333333,0.100000,3,4
2,1,Drew Lachey,8.000000,0.100000,4,1
2,1,Kenny Mayne,4.333333,0.100000,5,9
2,1,George Hamilton,6.000000,0.100000,6,8
2,1,Jerry Rice,7.000000,0.100000,7,5
2,1,Tia Carrere,6.666667,0.100000,8,6
2,1,Master P,4.000000,0.100000,9,10
2,1,Lisa Rinna,6.333333,0.100000,10,7
2,2,Stacy Keibler,9.666667,0.155521,1,1
2,2,Drew Lachey,9.000000,0.146352,2,2
2,2,Jerry Rice,7.666667,0.125764,3,3
2,2,Tia Carrere,7.333333,0.123451,4,4
2,2,George Hamilton,7.333333,0.123231,5,5
2,2,Giselle Fernandez,8.000000,0.102009,6,6
2,2,Lisa Rinna,6.666667,0.112904,7,7
2,2,Master P,5.333333,0.094478,8,8
2,2,Tatum O'Neal,5.666667,0.016289,9,9
2,3,Drew Lachey,9.000000,0.153958,1,1
2,3,Stacy Keibler,9.000000,0.153471,2,2
2,3,Tia Carrere,8.666667,0.145101,3,3
2,3,Jerry Rice,6.333333,0.153839,4,5
2,3,Lisa Rinna,8.333333,0.143765,5,4
2,3,George Hamilton,7.333333,0.130797,6,6
2,3,Giselle Fernandez,7.333333,0.003301,7,8
2,3,Master P,4.666667,0.115767,8,7
2,4,Drew Lachey,9.333333,0.166817,1,1
2,4,Lisa Rinna,8.666667,0.158679,2,2
2,4,Tia Carrere,8.333333,0.155251,3,4
2,4,Stacy Keibler,8.666667,0.154854,4,3
2,4,George Hamilton,7.000000,0.166114,5,5
2,4,Jerry Rice,8.000000,0.146906,6,6
2,4,Master P,2.666667,0.051380,7,7
2,5,Stacy Keibler,10.000000,0.192918,1,1
2,5,Drew Lachey,9.000000,0.176553,2,2
2,5,Lisa Rinna,8.333333,0.166917,3,3
2,5,George Hamilton,8.000000,0.162630,4,4
2,5,Jerry Rice,7.666667,0.154405,5,5
2,5,Tia Carrere,7.333333,0.146576,6,6
2,6,Drew Lachey,10.000000,0.223608,1,1
2,6,Stacy Keibler,10.000000,0.222566,2,2
2,6,Lisa Rinna,9.000000,0.204774,3,3
2,6,George Hamilton,7.666667,0.175756,4,4
2,6,Jerry Rice,7.666667,0.173296,5,5
2,7,Stacy Keibler,9.166667,0.361539,1,1
2,7,Drew Lachey,9.166667,0.359989,2,2
2,7,Jerry Rice,6.833333,0.271405,3,3
2,7,Lisa Rinna,8.833333,0.007067,4,4
2,8,Drew Lachey,9.666600,0.344125,1,1
2,8,Stacy Keibler,9.555500,0.337468,2,2
2,8,Jerry Rice,8.888867,0.318407,3,3
3,1,Mario Lopez,8.666667,0.121054,1,1
3,1,Emmitt Smith,8.000000,0.117810,2,2
3,1,Vivica A. Fox,7.333333,0.111113,3,3
3,1,Willa Ford,7.333333,0.110597,4,4
3,1,Joey Lawrence,7.000000,0.106455,5,5
3,1,Monique Coleman,6.333333,0.096269,6,6
3,1,Shanna Moakler,6.000000,0.088638,7,7
3,1,Harry Hamlin,5.666667,0.086463,8,8
3,1,Sara Evans,5.000000,0.075608,9,9
3,1,Jerry Springer,5.333333,0.062634,10,10
3,1,Tucker Carlson,4.000000,0.023359,11,11
3,2,Joey Lawrence,9.666667,0.128402,1,1
3,2,Monique Coleman,8.666667,0.116416,2,2
3,2,Vivica A. Fox,8.000000,0.105913,3,5
3,2,Mario Lopez,7.000000,0.119771,4,3
3,2,Harry Hamlin,7.000000,0.119753,5,4
3,2,Emmitt Smith,8.000000,0.104337,6,7
3,2,Sara Evans,7.000000,0.118629,7,6
3,2,Willa Ford,7.666667,0.101157,8,8
3,2,Shanna Moakler,7.333333,0.002237,9,10
3,2,Jerry Springer,6.333333,0.083385,10,9
3,3,Vivica A. Fox,9.000000,0.136287,1,1
3,3,Monique Coleman,9.000000,0.136237,2,2
3,3,Sara Evans,8.333333,0.125169,3,3
3,3,Willa Ford,7.333333,0.126327,4,4
3,3,Joey Lawrence,7.333333,0.123125,5,6
3,3,Mario Lopez,7.333333,0.123825,6,5
3,3,Harry Hamlin,7.333333,0.002610,7,9
3,3,Jerry Springer,7.000000,0.105145,8,8
3,3,Emmitt Smith,6.333333,0.121275,9,7
3,4,Mario Lopez,9.666667,0.154450,1,1
3,4,Willa Ford,9.333333,0.148019,2,2
3,4,Emmitt Smith,8.000000,0.149435,3,4
